key_fr,key_km,scrap_mode,scrap_letter,type,dialect_shiNgazidja,dialect_shiNdzuani,dialect_shiMaore,dialect_shiMwali,dialect_commun,img_link_webformatURL,img_link_previewURL
action,itrenɗwa; shitrenɗwa,FR -> KM,A,n. masc.,itrenɗwa,shitrenɗwa,,shitrenɗwa,,https://pixabay.com/get/g06179f41f69735391cd8bdfe771b9e6cab539f91fcce05f68bc959012e3baf901b8afb15ba054d0f0215d900842a77b7cb4a849d413ce3397b834938fa4a888e_640.jpg,https://cdn.pixabay.com/photo/2016/10/25/13/16/pumpkin-1768857_150.jpg
activer (qqun),surusha (u-),FR -> KM,A,v.,usurusha,,,,,https://pixabay.com/get/g3e1b241c553e1d12062a1f412cc9cf01685cba794985bf65efb7f596291baf2466170c15d2b45dbe7b4df6b00fa8f7f0ebed7995a970e5edc63a0c39a2940b71_640.jpg,https://cdn.pixabay.com/photo/2017/12/14/09/41/new-zealand-3018634_150.jpg
acéré,uhali,FR -> KM,A,adj. part. pass.,uhali,,uhali,,,https://pixabay.com/get/g7e7f1fefedfc4359755ac4e49cabcb56c351d884640b2bd1dd020ec79d91f78eeb49fe681e0cab260e1586b15a3e3667_640.jpg,https://cdn.pixabay.com/photo/2015/05/31/10/51/technology-791029_150.jpg
addition (opération arithmétique),mdjimliso hisaɓu,FR -> KM,A,n. fem.,hisaɓu,,,,,https://pixabay.com/get/gddaba7714a078f780066b8664383974d561328f328be96c2bd0b493a1bc3c49efa53291a2438734aa70117fd9049c1af_640.png,https://cdn.pixabay.com/photo/2012/04/01/13/10/blackboard-23421_150.png
adepte,muruɗi,FR -> KM,A,subst. adj.,muruɗi,,,,,https://pixabay.com/get/g18125695a6815a1c61ba0487a3aeca56b944f637b3fb76d89c976c3f3a172fbf8d07dd5d385a5d90aa557803cd8e7b7d2bbc9367f7e18adeaebf3c4b4d4df974_640.jpg,https://cdn.pixabay.com/photo/2017/09/01/08/12/marketing-2703377_150.jpg
adieu,kwaheri,FR -> KM,A,n. masc.,,kwaheri,kwaheri,kwaheri,,https://pixabay.com/get/gb49243f3e91bbbc636ecea5352bee17ab5537c48425e6acfad787210ddbf68b3405f96e22da1c7b09460d34a3f4107d4_640.jpg,https://cdn.pixabay.com/photo/2014/07/24/21/35/mortality-401222_150.jpg
adieu; au-revoir,kwaheri,KM -> FR,K,n. masc.,,kwaheri,kwaheri,kwaheri,,,
adjectif,swifa,FR -> KM,A,n. masc.,swifa,swifa,swifa,,,,
adjectif; description,swifa,KM -> FR,S,n. masc.,swifa,swifa,swifa,,,,
admettre,kuɓali (u-),FR -> KM,A,v.,ukuɓali,ukuɓali,ukuɓali,ukuɓali,1.0,,
administrer,tawalia (u-),FR -> KM,A,v. tra.,utawalia,utawalia,,,,,
administrer (gérer),swarifu (u-),FR -> KM,A,v. tra.,uswarifu,,,,,,
administrer; coloniser; gouverner,tawalia (u-),KM -> FR,T,v. tra.,utawalia,utawalia,,,,,
administré (un),raîa,FR -> KM,A,n. masc.,raîa,,,,,,
administré (un); citoyen,raîa,KM -> FR,R,n. masc.,raîa,,,,,,
adolescence,ushaɓaɓi,FR -> KM,A,n. fem.,ushaɓaɓi,,ushaɓaɓi,,,,
adolescence (chez la femme),undru wa mararudjuu,FR -> KM,A,n. fem.,mararudjuu,,,,,,
adolescent,shaɓaɓi; fihitsi,FR -> KM,A,n. masc.,shaɓaɓi,shaɓaɓi,shaɓaɓi,shaɓaɓi,1.0,,
adolescent (chez la femme),mndru wa mararudjuu,FR -> KM,A,n. masc.,mararudjuu,,,,,,
adoptif,nkambo; nkaɓu,FR -> KM,A,adj.,nkaɓu,nkambo,nkambo,,,,
adoucir,lainisha (u-),FR -> KM,A,v. tra.,ulainisha,,,,,,
adoucir; rendre lisse,lainisha (u-),KM -> FR,L,v. tra.,ulainisha,,,,,,
adulte,guzi; mdaɗe,FR -> KM,A,n. masc.,guzi,mdaɗe,,,,,
adulte (être-),ɓalighi (u-),FR -> KM,A,loc. v.,uɓalighi,,uɓalighi,,,,
adultère,zina,FR -> KM,A,,,,,,,,
adéquat,mufiɗu,FR -> KM,A,adj.,mufiɗu,,,,,,
affaiblir,ledjea (u-),FR -> KM,A,v. tra.,uledjea,,,,,,
affaire,shuhuli; haɓari,FR -> KM,A,n. fem.,haɓari,haɓari,haɓari,haɓari,1.0,,
affaire; occupation; fête; festivité; mariage,shuhuli,KM -> FR,S,n. fem.,haɓari,haɓari,haɓari,haɓari,1.0,,
affairement,mbwiri,FR -> KM,A,n. masc.,mbwiri,,,,,,
affairer (s'-),shapiha (u-),FR -> KM,A,v.,,,na,,,,
affairer (s'-); occuper (s'-),shapiha (u-),KM -> FR,S,v.,,,na,,,,
affecter,sikitisha (u-),FR -> KM,A,v. tra.,usikitisha,usikitisha,usikitisha,usikitisha,1.0,,
affecter; chagriner,sikitisha (u-),KM -> FR,S,v. tra.,usikitisha,usikitisha,usikitisha,usikitisha,1.0,,
affection,nyandzo; mahaba,FR -> KM,A,n. fem.,nyandzo,nyandzo,nyandzo,,,,
affiche,ilani,FR -> KM,A,n. fem.,ilani,,,,,,
affliction,djuɗi,FR -> KM,A,n. masc.,djuɗi,,,,,,
affliction; chagrin; souci; tristesse,djuɗi,KM -> FR,D,n. masc.,djuɗi,,,,,,
affolement,uhafilifu,FR -> KM,A,n. masc.,uhafilifu,uhafilifu,,,,,
affoler,djusa muo (u-); hafilisha (u-),FR -> KM,A,v. tra.,uhafilasha,uhafilasha,uhafilasha,,,,
affoler; rendre fou (litt. lever le cœur),djusa muo (u-),KM -> FR,D,v. tra.,uhafilasha,uhafilasha,uhafilasha,,,,
affolé (pers.),mhafilifu,FR -> KM,A,n. masc.,mhafilifu,,,,,,
affolé (être -),hafiliha (u-),FR -> KM,A,v.,uhafiliha,uhafiliha,uhafiliha,,,,
affront,ziɓwii; ncamwa,FR -> KM,A,n. masc.,ziɓwii,,,,,,
affront (faire un -),nakisi (u-),FR -> KM,A,v. tra.,unakisi,,,,,,
affronter,kaɓili (u-); kingia (u-),FR -> KM,A,v. tra.,ukaɓili,ukaɓili,ukaɓili,ukaɓili,1.0,,
affronter; diriger vers; tourner vers,kaɓili (u-),KM -> FR,K,v. tra.,ukaɓili,ukaɓili,ukaɓili,ukaɓili,1.0,,
affronter; endurer,kingia (u-),KM -> FR,K,v. tra.,ukaɓili,ukaɓili,ukaɓili,ukaɓili,1.0,,
afin de,ile,FR -> KM,A,prep. loc.,,ile,ile,ile,,,
afin que,pare; ili,FR -> KM,A,loc. conj.,pare,pare,pare,pare,1.0,,
afin que; pour que,ili,KM -> FR,I,loc. conj.,pare,pare,pare,pare,1.0,,
africain,mmrima,FR -> KM,A,n. masc.,mmrima,mmrima,mmrima,mmrima,1.0,,
Afrique,Afrika; Murima,FR -> KM,A,n. fem.,Murima,Murima,Murima,Murima,1.0,,
Afrique du Sud,Afrika Ya Kusini,FR -> KM,A,n. prop.,Kusini,Kusini,Kusini,Kusini,1.0,,
agave,kitsani,FR -> KM,A,n. fem.,kitsani,,,,,,
agence,iɗara,FR -> KM,A,n. fem.,iɗara,,,,,,
agenouiller,sudjuɗia (u-),FR -> KM,A,v. tra.,usudjuɗia,,,,,,
agenouiller; prosterner,sudjuɗia (u-),KM -> FR,S,v. tra.,usudjuɗia,,,,,,
agent commercial du transport,disho,FR -> KM,A,n. masc.,disho,,,,,,
agent du palais,mna-djumɓe,FR -> KM,A,n. masc. loc.,mna-djumɓe,,,,,,
aggraver,zorosa (u-),FR -> KM,A,v.,uzorosa,,,,,,
agile,-hodari,FR -> KM,A,adj.,-hodari,-hodari,-hodari,-hodari,1.0,,
agile; fort; intelligent; habile,-hodari,KM -> FR,H,adj.,-hodari,-hodari,-hodari,-hodari,1.0,,
agitateur,pinɗuzi,FR -> KM,A,n. masc.,pinɗuzi,,,,,,
agitation,taharaki,FR -> KM,A,n.,,taharaki,taharaki,,,,
agiter,raraya (u-); tsuha (u-),FR -> KM,A,v. tra.,utsuha,,utsuha,utsuha,,,
agiter; secouer,tsuha (u-),KM -> FR,T,v. tra.,utsuha,,utsuha,utsuha,,,
agneau,mna-gondzi,FR -> KM,A,n. masc.,mna-gondzi,,,,,,
agoniser (en s'agitant de tout son corps),tapala (u-); ɓaɓada (u-),FR -> KM,A,v.,utapala,utapala,utapala,utapala,1.0,,
agoniser (en s'agitant de tout son corps); ballotter; surmener,tapala (u-),KM -> FR,T,v.,utapala,utapala,utapala,utapala,1.0,,
agrafe,kulabu,FR -> KM,A,n. fem.,,kulabu,kulabu,kulabu,,,
agrandir,letsa (u-),FR -> KM,A,v. tra.,uletsa,,,,,,
agrandir; tendre,letsa (u-),KM -> FR,L,v. tra.,uletsa,,,,,,
agresser,vamia (u-),FR -> KM,A,v. tra.,uvamia,,,,,,
agresseur,mvamizi,FR -> KM,A,n. masc.,mvamizi,,,,,,
agriculture,ɗima; ulimadji; ndrima,FR -> KM,A,n. fem.,ulimadji,,ndrima,,,,
agréable (goût),ladha; lada,FR -> KM,A,n.,ladha,ladha,ladha,,,,
agrément,lada,FR -> KM,A,n. masc.,,lada,lada,,,,
aide,msaâɗa; musada,FR -> KM,A,n. fem.,msaâɗa,,musada,,,,
aider,saiɗia (u-); umɓisa (u-); vidza (u-),FR -> KM,A,v. tra.,usaiɗia,usaiɗia,usaiɗia,usaiɗia,1.0,,
aider; assister,vidza (u-),KM -> FR,V,v. tra.,usaiɗia,usaiɗia,usaiɗia,usaiɗia,1.0,,
aider; secourir,umɓisa (u-),KM -> FR,U,v. tra.,usaiɗia,usaiɗia,usaiɗia,usaiɗia,1.0,,
aigle,khwezi; bunɗi,FR -> KM,A,n. masc.,bunɗi,,khwezi,,,,
aigle; épervier,khwezi,KM -> FR,K,n. masc.,bunɗi,,khwezi,,,,
aigrir,tahayari (u-),FR -> KM,A,v. tra.,utahayari,,,,,,
aiguille,sindzanu,FR -> KM,A,n. fem.,,sindzanu,,,,,
aiguiser,nua (u-); sudza (u-),FR -> KM,A,v.,unua,,,usudza,,,
aiguiser; limer,nua (u-),KM -> FR,N,v.,unua,,,usudza,,,
aile,piho; ɓawa,FR -> KM,A,n. fem.,ɓawa,ɓawa,ɓawa,ɓawa,1.0,,
ailleurs,ndze,FR -> KM,A,adv.,ndze,,,,,,
aimant,asmaku; simaku,FR -> KM,A,n. masc.,asmaku,simaku,,,,,
aimer,pvendza (u-); andza (u-); vendza (u-),FR -> KM,A,v.,upvendza,uvendza,uvendza,upvendza,,,
aimer l'un l'autre,vendzana (u-),FR -> KM,A,v. tra.,,uvendzana,uvendzana,,,,
aimer; faire exprès; préférer,pvendza (u-),KM -> FR,P,v.,upvendza,uvendza,uvendza,upvendza,,,
ainsi,yapvo; apvo,FR -> KM,A,adv.,yapvo,,,,,,
air,hawa,FR -> KM,A,n. masc.,hawa,hawa,hawa,hawa,1.0,,
air; atmosphère,hawa,KM -> FR,H,n. masc.,hawa,hawa,hawa,hawa,1.0,,
aisance,masterehe,FR -> KM,A,n. fem.,masterehe,masterehe,masterehe,masterehe,1.0,,
aise (être à l'-),sterehi (u-),FR -> KM,A,v.,usterehi,usterehi,usterehi,usterehi,1.0,,
aisselle,kapwa,FR -> KM,A,n. fem.,kapwa,,kapwa,,,,
ajourner,udza (u-),FR -> KM,A,v. tra.,,,uudza,,,,
ajourner; vendre; empêcher ; arrêter,udza (u-),KM -> FR,U,v. tra.,,,uudza,,,,
ajourné (être -),udziwa (u-),FR -> KM,A,v.,uudziwa,,,,,,
ajouter,endjeza (u-); engedza (u-),FR -> KM,A,v. tra.,hwendjeza,hwengedza,hwengedza,,,,
ajouter (s' -),engedzeha (u-),FR -> KM,A,v. tra.,,hwengedzeha,hwengedzeha,,,,
ajouter (s' -); élargir (s'-),engedzeha (u-),KM -> FR,E,v. tra.,,hwengedzeha,hwengedzeha,,,,
ajuster,linga (u-),FR -> KM,A,v.,,,ulinga,,,,
ajuster; assortir,linga (u-),KM -> FR,L,v.,,,ulinga,,,,
albinos,shema; shana,FR -> KM,A,n. masc.,shema,,,shema,,,
alcool,alikoli,FR -> KM,A,n. masc.,alikoli,,,,,,
algie,mshipa,FR -> KM,A,n. fem.,mshipa,mshipa,,,,,
algue,jani,FR -> KM,A,n. fem.,,,jani,,,,
aligner,ɗundzanya (u-); linganyisa (u-); linganisa (u-),FR -> KM,A,v. tra.,ulinganyisa,,ulinganisa,,,,
aligner (s'-),lingana (u-),FR -> KM,A,v. tra.,ulingana,ulingana,ulingana,ulingana,1.0,,
aligner; mettre en rang,linganisa (u-),KM -> FR,L,v. tra.,ulinganyisa,,ulinganisa,,,,
aliment,zio,FR -> KM,A,n. masc.,zio,,,zio,,,
aliment; nourriture,zio,KM -> FR,Z,n. masc.,zio,,,zio,,,
alimentation,mlo; mliso,FR -> KM,A,n. fem.,mlo,mlo,mlo,mlo,1.0,,
allaiter,hamsa (u-),FR -> KM,A,v. tra.,uhamsa,,,,,,
allemand,mDaci; shiDjeremani; muDjeremani,FR -> KM,A,n. masc.,mDaci,,shiDjeremani,,,,
aller,enɗa (u-); endra (u-),FR -> KM,A,v.,hwenɗa,hwendra,hwendra,hwenɗa,,,
aller de-ci de-là,fuhafuha (u-),FR -> KM,A,exp.,,,ufuhafuha,,,,
aller ensemble,zungulihana (u-),FR -> KM,A,v.,,,uzungulihana,,,,
"aller à pieds, marcher",endra (u-) ha mindru,FR -> KM,A,v.,,mindru,mindru,,,,
aller; marcher; fonctionner,enɗa (u-),KM -> FR,E,v.,hwenɗa,hwendra,hwendra,hwenɗa,,,
allergie,miko,FR -> KM,A,n. fem.,miko,miko,miko,miko,1.0,,
allonger,lala (u-); omboa (u-); ondza (u-),FR -> KM,A,v. pron.,ulala,ulala,ulala,ulala,1.0,,
allongé (être -),omboha (u-),FR -> KM,A,v.,,uomboha,,,,,
allongé (être -); dresser (se -),omboha (u-),KM -> FR,O,v.,,uomboha,,,,,
allons,narenɗe !,FR -> KM,A,v.,,,,,,,
allumage,mpatso,FR -> KM,A,n. masc.,mpatso,,,mpatso,,,
allumer,patsa (u-); vudza (u-),FR -> KM,A,v.,upatsa,upatsa,upatsa,upatsa,1.0,,
allumette,iɓiriti; shiɓiriti,FR -> KM,A,n. fem.,iɓiriti,shiɓiriti,,,,,
allumeur,ipatso,FR -> KM,A,n. masc.,ipatso,,,,,,
allumeur; interrupteur,ipatso,KM -> FR,I,n. masc.,ipatso,,,,,,
allure,djenɗo,FR -> KM,A,n. fem.,djenɗo,,,,,,
allé chercher,roshea (u-),FR -> KM,A,v.,uroshea,,,,,,
alléger,angupva (u-),FR -> KM,A,v. tra.,hwangupva,,,,,,
aloe vera,kononɗe; shizia mlili; konyoɗe,FR -> KM,A,n. masc. inv.,konyoɗe,mlili,,,,,
alors,wadjau; halafu,FR -> KM,A,adv,halafu,halafu,halafu,halafu,1.0,,
alors; puis,halafu,KM -> FR,H,adv,halafu,halafu,halafu,halafu,1.0,,
aloès,kitani,FR -> KM,A,n. masc. inv.,kitani,,kitani,,,,
alphabet,alifuɓe,FR -> KM,A,n. masc.,alifuɓe,alifuɓe,alifuɓe,alifuɓe,1.0,,
alphabétiser,alfuɓesha (u-),FR -> KM,A,v.,hwalfuɓesha,hwalfuɓesha,hwalfuɓesha,hwalfuɓesha,1.0,,
aluminium,garando,FR -> KM,A,n. masc.,,,,garando,,,
amadouer,fwaria (u-),FR -> KM,A,v.,ufwaria,ufwaria,,,,,
amande (gage de paiement),mau,FR -> KM,A,n. fem.,mau,,,,,,
amande (gage de paiement); amende,mau,KM -> FR,M,n. fem.,mau,,,,,,
amant(e),hawara,FR -> KM,A,subst.,hawara,,hawara,hawara,,,
amant(e); maîtresse,hawara,KM -> FR,H,subst.,hawara,,hawara,hawara,,,
amarante (folong),debere,FR -> KM,A,n. fem.,debere,,,,,,
amarrer,fungatsa (u-),FR -> KM,A,v.,ufungatsa,,,,,,
amas,pumɓa; ɓunku; gudza,FR -> KM,A,n. masc.,pumɓa,gudza,pumɓa,,,,
ambassadeur,ɓalozi,FR -> KM,A,n. masc.,ɓalozi,,,,,,
amberique,ntsandzi; tsandzi,FR -> KM,A,n. fem.,ntsandzi,,tsandzi,,,,
ambiance,shime; ɓashasha; mshago,FR -> KM,A,n. fem.,mshago,shime,shime,ɓashasha,,,
ambiguïté,tahaludhi,FR -> KM,A,n. fem.,,tahaludhi,,,,,
ambitionner,kusuɗi (u-),FR -> KM,A,v.,ukusuɗi,ukusuɗi,ukusuɗi,ukusuɗi,1.0,,
ambitionner; faire exprès,kusuɗi (u-),KM -> FR,K,v.,ukusuɗi,ukusuɗi,ukusuɗi,ukusuɗi,1.0,,
ambre,amɓari,FR -> KM,A,n. masc.,amɓari,,,,,,
ambrevade,ntsuzi; tsuzi,FR -> KM,A,n. fem.,ntsuzi,ntsuzi,tsuzi,ntsuzi,,,
amende,mau; shinye,FR -> KM,A,n. fem.,mau,shinye,,,,,
amende (divorce),kulô,FR -> KM,A,n. fem.,,,kulô,,,,
amener,ɓalia (u-),FR -> KM,A,v. tra.,uɓalia,,,,,,
amer,nyungo; nyongo,FR -> KM,A,adj.,nyungo,nyongo,nyongo,,,,
ami,mwandzani; munyawe,FR -> KM,A,n. masc.,mwandzani,mwandzani,mwandzani,mwandzani,1.0,,
amitié,uwandzani,FR -> KM,A,n. fem.,uwandzani,,uwandzani,,,,
amnistier,swamili (u-),FR -> KM,A,v. tra.,uswamili,,,,,,
amoindrir,shashiza (u-),FR -> KM,A,v. tra.,ushashiza,,,,,,
amollir,rembedza (u-),FR -> KM,A,v.,,urembedza,,,,,
amollir (s'-),rembea (u-),FR -> KM,A,v. tra.,,urembea,,,,,
amour,nyandzo; mahaba; pendo; mahaɓa; pendzo,FR -> KM,A,n. fem.,mahaɓa,mahaɓa,mahaɓa,mahaɓa,1.0,https://pixabay.com/get/gb843bd31cccb1068d03a892351ba59172c697bca4b145790d0e5ccf78ef1bcfd41326d4970b2a90d19352929a291f682_640.jpg,https://cdn.pixabay.com/photo/2015/03/30/20/33/heart-700141_150.jpg
amour-propre,kirahi,FR -> KM,A,,,,,,,https://pixabay.com/get/ge6888746ab30664316f1d82e8c0c20abefd871d7c58c2ce26f1139c42b2aed07e0cd96bc2746e4f24ad728e70474170c7039646c3ebbd74ee04e99b7aa040877_640.jpg,https://cdn.pixabay.com/photo/2018/11/09/20/11/struggle-3805349_150.jpg
amour; affection,nyandzo,KM -> FR,N,n. fem.,mahaɓa,mahaɓa,mahaɓa,mahaɓa,1.0,https://pixabay.com/get/gfd7e0542b825a65fc731768603da3b7c1c09e61e9ff4fc95c89ba6cf9d01f0f0080f9e3efd45a883abf544ac696c4e50fd698043b7f0da0c302b42cf12a60484_640.jpg,https://cdn.pixabay.com/photo/2016/10/06/05/19/couple-1718244_150.jpg
amour; sentiment,mahaɓa,KM -> FR,M,n. fem.,mahaɓa,mahaɓa,mahaɓa,mahaɓa,1.0,https://pixabay.com/get/g56bcd83693fcc6d3cfe20bd00974411bcebe83d7a1ba4745d5030c5aa9baba1bd178db39e961bcd29843435c12b46cd9_640.jpg,https://cdn.pixabay.com/photo/2015/05/11/14/51/heart-762564_150.jpg
amoureux,mhimbi,FR -> KM,A,n. masc. adj.,,mhimbi,,,,https://pixabay.com/get/gbd0b0cc1abc01d6a2e91df24070e10586762f1be07ad630d14c8faf8da056ee7ead36de9939ba77b54647f40c593e1d0_640.jpg,https://cdn.pixabay.com/photo/2014/12/08/11/49/couple-560783_150.jpg
ampleur,upezo,FR -> KM,A,n. fem.,upezo,,,,,,
ampoule,taya; ampulu,FR -> KM,A,n. fem.,taya,taya,taya,taya,1.0,https://pixabay.com/get/g953bc8af48c318362998bf729f5106480a1bc6d0b1e707e32da214dc47b7fbed00dc73688fb0712c3590fbd93fe3830c59298d1f1d9a166bcd9a7af272da7d4a_640.jpg,https://cdn.pixabay.com/photo/2018/01/24/17/33/light-bulb-3104355_150.jpg
ampoule (aux mains),truhu,FR -> KM,A,n. masc.,truhu,,truhu,,,https://pixabay.com/get/g3d8ec99554b5104e72bb0c49c7bc7d8604b0f6fceb46da1252acb973e39d8e8ffc5cdc95244c8a9d99be08553fd756925a4ae92678f428cdbf1bdaaa8ad888d2_640.jpg,https://cdn.pixabay.com/photo/2018/01/24/17/33/light-bulb-3104355_150.jpg
ampoule; lampe,taya,KM -> FR,T,n. fem.,taya,taya,taya,taya,1.0,https://pixabay.com/get/ge6832f6fc0ab9615e1c1de1fe7c2bb1c0ab8e9546bfadf57f2540fc95e25a16d026ef7fae926fa8dff32a3e5adbe7401_640.jpg,https://cdn.pixabay.com/photo/2014/10/26/14/36/light-bulb-503881_150.jpg
amulette,hirizi,FR -> KM,A,n. masc.,hirizi,hirizi,,,,https://pixabay.com/get/g065a344129ddc15b622f68e7bb92264655156b68d333f52324d686480df1b82d98e483fdcef5351efb340fa96464213a8aadbe6afa287bfaa2740b42984e6a8c_640.jpg,https://cdn.pixabay.com/photo/2017/03/19/10/49/friendship-2156174_150.jpg
amusement,urembo,FR -> KM,A,n. masc.,,,urembo,,,https://pixabay.com/get/g174e5d679ec94de5ee028b3e8c6d48dd91b29888e274c72ccae6b2a11f9a90c7ebe309228efc5c6c52921ba848ba09d2c836e6f143de899428171f7c619b8eda_640.jpg,https://cdn.pixabay.com/photo/2017/02/16/19/47/bokeh-2072271_150.jpg
amuser,sakariha (u-); angadza (u-),FR -> KM,A,v. tra.,usakariha,usakariha,usakariha,usakariha,1.0,https://pixabay.com/get/ged89ec447fbd9c46b96aa6c34035292a0bb9a892999607511214185c933d585f0a82246a21465176645e8bca67f4b40919c54c88313f4aaa47138d232ba2fe12_640.jpg,https://cdn.pixabay.com/photo/2017/02/16/19/47/bokeh-2072271_150.jpg
Amérique,Marekani,FR -> KM,A,n. prop.,Marekani,Marekani,Marekani,Marekani,1.0,https://pixabay.com/get/g45550e24e72f9f05446bada38ab75aaa51a939018cf5b155dc79ce239b44da6bbe1af5189d7ee2d942a180b93441cf6a_640.jpg,https://cdn.pixabay.com/photo/2014/09/10/00/59/mountains-440520_150.jpg
an,mwaha,FR -> KM,A,n. masc.,mwaha,mwaha,mwaha,mwaha,1.0,https://pixabay.com/get/gd6f489f967f6deae29ddf53fc2557fb4b460bcd8062600585a28e8ab54f265f7cfebb6a173a009d9dacad94afcb8fb721166233b059f327bdf3ebfc8d3e712c4_640.png,https://cdn.pixabay.com/photo/2017/01/12/06/26/flowers-1973875_150.png
an; année; âge,mwaha,KM -> FR,M,n. masc.,mwaha,mwaha,mwaha,mwaha,1.0,https://pixabay.com/get/gb19864af7e88e4481a8909ce24b21389742def462fc7340ba8441989989f70eff95b1f82a39fc8667637fcafad240c715276a11b6123cf3c9142aefc6171c6f5_640.jpg,https://cdn.pixabay.com/photo/2016/11/11/10/11/architect-1816217_150.jpg
anacardier,mbibo; mkoroshe,FR -> KM,A,,,,,,,https://pixabay.com/get/ge96b9784f5cae4c058a30171d86b2d6c485dec659b00eabb84ebd5373fb2d072b8eaed2e09e0ade9bf0e86e9dde24a3450080154229f07cbc2074f685221a6cf_640.jpg,https://cdn.pixabay.com/photo/2015/12/18/02/59/cashew-nut-1098177_150.jpg
anacardier ,mkoroshe,KM -> FR,M,,,,,,,,
analyse,mtsantsauo,FR -> KM,A,n. fem.,mtsantsauo,,,,,https://pixabay.com/get/gb03eed8521d56965b55e2c7f1495da2a792d07d54751e56fe6198d47642e99245580f8ddc09ac9e6c85d728fc382df4c433db802f7b5e2a53dbfa950b19d71d7_640.jpg,https://cdn.pixabay.com/photo/2016/10/09/08/32/digital-marketing-1725340_150.jpg
analyser,tafiti (u-); tsantsaua (u-),FR -> KM,A,v. tra.,utsantsaua,,,,,https://pixabay.com/get/g3608f9bac6d87ebf5da7cbc31edac6a5e6af01c4fe707b922ae6d629b1548ebf03f8294be0dc06fa99bb67183efdfd255462f8ae3a5dec5c23d08f0414528fc4_640.jpg,https://cdn.pixabay.com/photo/2017/07/10/23/43/question-mark-2492009_150.jpg
analyser; rechercher,tafiti (u-),KM -> FR,T,v. tra.,utsantsaua,,,,,https://pixabay.com/get/gabd80c08b71f3f89bcbbd30522a7d77f5ae180e6b33bd312f0446974b3ab2766bd6bfbb0790929484aa2788cb747d3f80956ce579475c73bc7826fd6006a1c12_640.jpg,https://cdn.pixabay.com/photo/2018/07/15/10/44/dna-3539309_150.jpg
ananas,mnanasi; nanasi,FR -> KM,A,n. fem.,mnanasi,nanasi,nanasi,nanasi,,https://pixabay.com/get/g48e68d72284c48eeaeb8713066c712ee03d969f14e9414369416e40c702dc1bc646ffa6af8a2d9fddd2013777e0d18b6219f81a8e76200510c6b2b44dda9cb98_640.jpg,https://cdn.pixabay.com/photo/2021/10/07/15/24/fruits-6688947_150.jpg
ancre (navire),nanga,FR -> KM,A,n. fem.,nanga,nanga,nanga,,,https://pixabay.com/get/ga2336f5f94ae0a89b27db11564ce3c76bd242793388cacc0f5ce54f99d7db277f1632b2ec9cf4a857a2a2f6e66570bc2_640.jpg,https://cdn.pixabay.com/photo/2014/09/07/16/53/couple-437968_150.jpg
ancêtre (d'une lignée),koo; djaɗi,FR -> KM,A,n. masc.,koo,,koo,,,https://pixabay.com/get/gd2e03d29fbc0c2bb6a131e10712463a3741ead25f60531b0d9750b0d6c3664bca0972afb25bdc6d934e74bd22ae943774eab80b9a772b8e5797c2b23714a69a1_640.jpg,https://cdn.pixabay.com/photo/2018/01/28/17/48/gallery-3114279_150.jpg
anecdote,kiswa,FR -> KM,A,n. fem.,kiswa,,kiswa,,,https://pixabay.com/get/gc9e31ae64eb8e1321c37a400112cdf0b945313855a2232b057b0b76d5be8a6bd483f57069bb0a085597329e6bdbcd8a8f17e3506d8e9acee262ca65e61928aca_640.jpg,https://cdn.pixabay.com/photo/2021/07/20/03/04/nature-6479616_150.jpg
anecdote; revanche; vengeance,kiswa,KM -> FR,K,n. fem.,kiswa,,kiswa,,,,
anesthésier,leza (u-),FR -> KM,A,v.,uleza,,,,,,
ange,ɗaika,FR -> KM,A,n. masc.,ɗaika,,ɗaika,,,https://pixabay.com/get/g14e757461b6ff54e94634c60449d188d414b87ebc8fb17decb7bf806a098e16ddab12a01eef74cdae85e17d468fcef52_640.jpg,https://cdn.pixabay.com/photo/2015/05/02/08/02/angel-749625_150.jpg
anglais,shiNgereza; muNgereza,FR -> KM,A,adj. n. masc.,shiNgereza,shiNgereza,shiNgereza,shiNgereza,1.0,https://pixabay.com/get/g54dfcde33bb2b7933240422567638677d1caf4308389c9bd7bf0fe41bd9dca0d671bbe2681cff338daf9096f769cb66f071f47f0cc8f50dcf411f9edf895f930_640.jpg,https://cdn.pixabay.com/photo/2017/09/21/13/32/girl-2771936_150.jpg
anglais (pers.),mngereza,FR -> KM,A,n. masc.,mngereza,,,mngereza,,https://pixabay.com/get/g302ea83b12ac21f6169c58006d844b85a3d568ab7bb3bc51b1999ecb2955f7581728166193ff630964c36ec835df2b4d69415caa3d65f3c677c75ddff259d8b2_640.jpg,https://cdn.pixabay.com/photo/2017/09/21/13/32/girl-2771936_150.jpg
angle,mbeɓe; mpemɓe,FR -> KM,A,n. masc.,mbeɓe,mpemɓe,,,,https://pixabay.com/get/g8008b634b9423c826d200c69e729cdc88fe00f1d9959703f94d15cd66354c8687b8084998d8193c8f05b195836f832c0b4f11bf40460fb06d4530145af5b2583_640.jpg,https://cdn.pixabay.com/photo/2015/11/05/08/21/geometry-1023846_150.jpg
