key_fr,key_km,scrap_mode,scrap_letter,type,dialect_shiNgazidja,dialect_shiNdzuani,dialect_shiMaore,dialect_shiMwali,dialect_commun
annuler; éliminer,futra (u-),KM -> FR,F,v. tra.,ufutra,ufutra,ufutra,ufutra,1.0
année,mwaha,FR -> KM,A,n. fem.,mwaha,mwaha,mwaha,mwaha,1.0
année dernière,mwaha djana,FR -> KM,A,n. fem.,djana,,,,
année prochaine,mwahani,FR -> KM,A,n. fem.,mwahani,,,,
anse,kio,FR -> KM,A,n. fem.,kio,kio,kio,kio,1.0
anéantir,angamia (u-),FR -> KM,A,v.,hwangamia,,hwangamia,,
anéantissement,uangamivu,FR -> KM,A,n. masc.,uangamivu,,uangamivu,,
anémier,jelea (u-),FR -> KM,A,v.,,,ujelea,,
anémier; être faible,jelea (u-),KM -> FR,J,v.,,,ujelea,,
août,Utu,FR -> KM,A,n. masc.,,,Utu,,
apaiser,truliza (u-),FR -> KM,A,v. tra.,utruliza,,,,
apaiser; calmer (faire -),truliza (u-),KM -> FR,T,v. tra.,utruliza,,,,
apercevoir,hitsili (u-),FR -> KM,A,v.,uhitsili,,,,
aplatir,malala (u-); teresa (u-),FR -> KM,A,v. pron.,uteresa,,,,
aplatir; terrasser,teresa (u-),KM -> FR,T,v. pron.,uteresa,,,,
aplatissement,mmalazo,FR -> KM,A,n. masc.,mmalazo,,,,
aplomb,maswa,FR -> KM,A,n. masc.,maswa,maswa,,,
apparaître,pvenuha (u-); dhwahiri (u-),FR -> KM,A,v.,upvenuha,,,upvenuha,
apparence,surwaya; surwa,FR -> KM,A,n. fem.,surwaya,surwa,surwa,,
apparent,dhwahiri; -pvenufu,FR -> KM,A,adj.,dhwahiri,,,,
apparent; claire,-pvenufu,KM -> FR,P,adj.,dhwahiri,,,,
apparition,mwoniho; mpvenuho,FR -> KM,A,n. fem.,mwoniho,,,mpvenuho,
appartement,ɗaho; nɗani; ɗago; ndrani,FR -> KM,A,n. masc.,nɗani,ndrani,ɗago,ɗaho,
appauvrir,faitisha (u-),FR -> KM,A,v. tra.,,ufaitisha,,,
appel,mparo,FR -> KM,A,n. masc.,mparo,,,,
appel à la prière,adhan,FR -> KM,A,n. masc.,adhan,adhan,adhan,adhan,1.0
appeler,para (u-); ira (u-); hira (u-),FR -> KM,A,v.,upara,upara,upara,upara,1.0
appeler (s'-),parana (u-); hiriwa (u-); hirwa (u-),FR -> KM,A,v. tra.,uparana,uparana,uparana,uparana,1.0
appeler à la prière,adhini (u-),FR -> KM,A,v.,hwadhini,hwadhini,hwadhini,hwadhini,1.0
appeler; avoir; trouver; obtenir; créditer,para (u-),KM -> FR,P,v.,upara,upara,upara,upara,1.0
applaudir,rema kotsi (u-),FR -> KM,A,v. tra.,kotsi,,,,
applaudissement,kotsi; sama,FR -> KM,A,n. masc.,kotsi,sama,sama,,
appliquer,ɓaganisa (u-),FR -> KM,A,v. tra.,,uɓaganisa,,,
apporter,ɓalia (u-); vinga (u-); pvinga (u-),FR -> KM,A,v. tra.,uɓalia,uvinga,uvinga,upvinga,
apporter à,veleshea (u-); vingia (u-),FR -> KM,A,v.,,uvingia,uvingia,,
apporter; conduire,pvinga (u-),KM -> FR,P,v. tra.,uɓalia,uvinga,uvinga,upvinga,
apporter; emmener; porter,vinga (u-),KM -> FR,V,v. tra.,uɓalia,uvinga,uvinga,upvinga,
apprendre,soma (u-); funɗishia (u-); fundrisa (u-),FR -> KM,A,v. tra.,usoma,usoma,usoma,usoma,1.0
apprendre; enseigner; faire apprendre,fundrisa (u-),KM -> FR,F,v. tra.,usoma,usoma,usoma,usoma,1.0
approche !,kariɓu,FR -> KM,A,adj. adv. prep.,kariɓu,kariɓu,kariɓu,kariɓu,1.0
approcher,tsengelea (u-),FR -> KM,A,v. tra.,utsengelea,,,,
approcher (discrètement),kukulia (u-),FR -> KM,A,v. tra.,,,ukukulia,,
approcher (s'-),tsengelea (u-); kariɓu (u-); kuruɓia (u-); djelea (u-); tsengea (u-),FR -> KM,A,v. tra.,ukuruɓia,ukuruɓia,ukuruɓia,ukuruɓia,1.0
approcher pour combattre,temegea (u-),FR -> KM,A,v. tra.,utemegea,,,,
approcher; approcher (s'-),tsengelea (u-),KM -> FR,T,v. tra.,utsengelea,,,,
approprier (s'-),djimilikisha (u-); miliki (u-),FR -> KM,A,v. tra.,umiliki,,,,
apprêter à,pania (u-),FR -> KM,A,v. tra.,upania,,,,
appui,simɓishio,FR -> KM,A,n. masc.,simɓishio,,,,
appuyer,simɓishia (u-); sinya (u-),FR -> KM,A,v. tra.,usinya,,usinya,usinya,
appuyer (s'-),wamia (u-),FR -> KM,A,v. tra.,uwamia,,,,
appât,shamɓo; travo,FR -> KM,A,n. masc.,shamɓo,travo,,shamɓo,
après,ɓaȃɗa; nyuma; isa,FR -> KM,A,prep.,nyuma,nyuma,nyuma,nyuma,1.0
après ça,nyuma ya,FR -> KM,A,adv.,ya,,,,
après-demain,ushao; ɓada-meso,FR -> KM,A,adv. n. masc.,ushao,ɓada-meso,ɓada-meso,,
après-midi,djio; mutsana,FR -> KM,A,n. fem.,djio,,mutsana,djio,
après-midi (dans l'-),ujoni,FR -> KM,A,loc.,,ujoni,ujoni,,
arabe,shiAraɓu; mwAraɓu,FR -> KM,A,subst. adj.,shiAraɓu,shiAraɓu,shiAraɓu,shiAraɓu,1.0
Arabie,Araɓu,FR -> KM,A,subst.,Araɓu,Araɓu,Araɓu,Araɓu,1.0
arachide (plant.),mdjugu; mudjugu,FR -> KM,A,n. fem.,mdjugu,,mudjugu,,
araignée,ɓwibwi; shitrandrabwibwi; trandra marandre,FR -> KM,A,n. fem.,ɓwibwi,ɓwibwi,ɓwibwi,ɓwibwi,1.0
arbitrage,mreso; unamuzi,FR -> KM,A,n. masc.,mreso,,unamuzi,,
arbitraire,mdhulumifu,FR -> KM,A,adj. subst.,mdhulumifu,,,,
arbitraire; injuste (pers.),mdhulumifu,KM -> FR,M,adj. subst.,mdhulumifu,,,,
arbitre,mresadji,FR -> KM,A,adj.,mresadji,,,,
arbre,mri; mwiri; muri,FR -> KM,A,n. masc.,mri,mwiri,mwiri,muri,
arbre à cornichons,mhadju,FR -> KM,A,loc. n. masc.,mhadju,,,,
arbre à pain,mfuriapa; muframpe,FR -> KM,A,loc. n. masc.,mfuriapa,,muframpe,,
arbre; bois,mwiri,KM -> FR,M,n. masc.,mri,mwiri,mwiri,muri,
arbre; bois; branche,mri,KM -> FR,M,n. masc.,mri,mwiri,mwiri,muri,
arbuste jasmin,mwâfu,FR -> KM,A,loc.,mwâfu,mwâfu,mwâfu,mwâfu,1.0
"Arbuste, sorte de mimosa à fleurs odorantes",mufumgu,FR -> KM,A,def.,,,,,
arc,utra,FR -> KM,A,n. masc.,utra,,,,
arc-en-ciel,mukakamba; mziankamba; ulime wa masera,FR -> KM,A,n. masc.,masera,mziankamba,mukakamba,,
ardoise,ɓao,FR -> KM,A,n. fem.,ɓao,ɓao,ɓao,,
argent,pesa; marike; mpesa,FR -> KM,A,n. masc.,pesa,mpesa,marike,pesa,
argent (monnaie),fedha,FR -> KM,A,n. masc.,fedha,fedha,fedha,fedha,1.0
argent (métal),fedha,FR -> KM,A,n. masc.,fedha,fedha,fedha,fedha,1.0
argent (métal); argent (monnaie),fedha,KM -> FR,F,n. masc.,fedha,fedha,fedha,fedha,1.0
argent (unité de compte),riali,FR -> KM,A,n. masc.,riali,riali,riali,riali,1.0
argent (unité de compte); rial,riali,KM -> FR,R,n. masc.,riali,riali,riali,riali,1.0
argile blanche,kawe,FR -> KM,A,n. fem.,,kawe,kawe,,
argile rouge,ɗongo,FR -> KM,A,n. fem.,ɗongo,,ɗongo,ɗongo,
arguer,gongeana fikra (u-),FR -> KM,A,v.,fikra,,,,
argument,maoni,FR -> KM,A,n. masc.,maoni,,,,
argumenter,shinɗana (u-),FR -> KM,A,v.,ushinɗana,,,ushinɗana,
argumenter; débattre; disputer (se -),shinɗana (u-),KM -> FR,S,v.,ushinɗana,,,ushinɗana,
aristocrate,kaɓaila,FR -> KM,A,n. masc.,kaɓaila,kaɓaila,kaɓaila,kaɓaila,1.0
arme à feu,mzinga,FR -> KM,A,n. masc.,mzinga,,,,
armoire,biro,FR -> KM,A,n. fem.,biro,biro,,,
armée,djeshi,FR -> KM,A,n. fem.,djeshi,djeshi,djeshi,djeshi,1.0
arnaquer (se faire -),ravwa (u-),FR -> KM,A,v.,,,uravwa,,
arpenteur,mpvimadji,FR -> KM,A,n. masc.,mpvimadji,,,,
arquer,limba (u-),FR -> KM,A,v.,,ulimba,ulimba,,
arracher,pua (u-); foɓoa (u-); vagua (u-),FR -> KM,A,v. tra.,upua,uvagua,upua,,
arracher énergiquement,hashua (u-),FR -> KM,A,v.,,,uhashua,,
arracher; enlever; ôter,pua (u-),KM -> FR,P,v. tra.,upua,uvagua,upua,,
arrangement,mkarakara; mlekezo,FR -> KM,A,n. masc.,mlekezo,,mkarakara,,
arrangement; réglage,mlekezo,KM -> FR,M,n. masc.,mlekezo,,mkarakara,,
arranger,lekeza (u-); rengeledza (u-); lekedza (u-),FR -> KM,A,v.,ulekeza,urengeledza,urengeledza,urengeledza,
arranger (s'-),rengelea (u-),FR -> KM,A,v. tra.,urengelea,,urengelea,,
arranger; réparer,rengeledza (u-),KM -> FR,R,v.,ulekeza,urengeledza,urengeledza,urengeledza,
arriver,waswili (u-); wasili (u-),FR -> KM,A,v.,uwaswili,uwaswili,uwaswili,uwaswili,1.0
arriver à temps,wahi (u-),FR -> KM,A,v.,uwahi,,,,
arrière,ɗingo,FR -> KM,A,adv.,ɗingo,,,,
arrière grand-mère,dada,FR -> KM,A,n. fem.,,,dada,,
arrière-arrière-arrière-petit-enfant,shikaɗonɗo,FR -> KM,A,n. masc.,,,,shikaɗonɗo,
arrogance,kiɓuri; udjonefu; fudhuli,FR -> KM,A,n. fem.,kiɓuri,udjonefu,fudhuli,,
arrogance; orgueil,udjonefu,KM -> FR,U,n. fem.,kiɓuri,udjonefu,fudhuli,,
arrogant,tale; mdjonefu; mtezefu-sheri,FR -> KM,A,n. fem.,tale,mtezefu-sheri,mtezefu-sheri,,
arrondir,ɗiwarisha (u-),FR -> KM,A,v. tra.,uɗiwarisha,,,,
arrêter,udza (u-); zia (u-),FR -> KM,A,v. tra.,uzia,,uzia,uzia,
arrêter de têter,funga dziya (u-),FR -> KM,A,v.,,,dziya,,
arrêter; retenir,zia (u-),KM -> FR,Z,v. tra.,uzia,,uzia,uzia,
art,swanaa,FR -> KM,A,n. masc.,swanaa,,,,
art de l'éloquence,ufaswaha,FR -> KM,A,n. masc.,ufaswaha,,,ufaswaha,
art de l'éloquence; rhétorique,ufaswaha,KM -> FR,U,n. masc.,ufaswaha,,,ufaswaha,
art; artisan,swanaa,KM -> FR,S,n. masc.,swanaa,,,,
article de loi,kanuni,FR -> KM,A,n. masc.,kanuni,,,,
article de presse,nakala,FR -> KM,A,n. fem.,nakala,,,,
articulation,shifungo; ningo,FR -> KM,A,n. fem.,,ningo,shifungo,,
articulation; membre,ningo,KM -> FR,N,n. fem.,,ningo,shifungo,,
articulations,mbinguo,FR -> KM,A,,,,,,
articulations ,mbinguo,KM -> FR,M,,,,,,
artisan,swanaa; fundi; sarumaya,FR -> KM,A,n. masc.,fundi,fundi,fundi,fundi,1.0
artisant,sarmaya,FR -> KM,A,subst.,sarmaya,,,,
artère,mzi,FR -> KM,A,n. masc.,mzi,,,,
aréquier,mpvopvoo,FR -> KM,A,n. n. masc.,mpvopvoo,,,,
arête,muɓa,FR -> KM,A,n. fem.,,,muɓa,,
as,re,FR -> KM,A,n. masc.,,,re,,
ascendance,uzale,FR -> KM,A,n. fem.,uzale,,,,
ascendance maternelle,inya,FR -> KM,A,n. fem.,inya,,,,
ascension du Prophète,Miradji,FR -> KM,A,n. fem.,Miradji,Miradji,Miradji,Miradji,1.0
ascension du Prophète; Miraj; Radjab,Miradji,KM -> FR,M,n. fem.,Miradji,Miradji,Miradji,Miradji,1.0
aspect,surwaya,FR -> KM,A,n. masc.,surwaya,,,,
aspect; apparence,surwaya,KM -> FR,S,n. masc.,surwaya,,,,
aspirer,vura (u-),FR -> KM,A,v.,uvura,uvura,uvura,uvura,1.0
assaisonner,unga (u-),FR -> KM,A,v. tra.,uunga,uunga,uunga,,
assassin,katili,FR -> KM,A,n. masc.,katili,,,,
assembler,tsanganya (u-),FR -> KM,A,v.,utsanganya,,,,
assembler; regrouper,tsanganya (u-),KM -> FR,T,v.,utsanganya,,,,
assemblée (chambre des députés),ɓaraza,FR -> KM,A,n. fem.,ɓaraza,ɓaraza,ɓaraza,ɓaraza,1.0
assemblée (groupe de personne),djamaa,FR -> KM,A,n. fem.,djamaa,djamaa,djamaa,djamaa,1.0
assemblée (groupe de personne); société; famille,djamaa,KM -> FR,D,n. fem.,djamaa,djamaa,djamaa,djamaa,1.0
asseoir (s'-),kantsi (u-); ketsi (u-); kentsi (u-),FR -> KM,A,v. tra.,ukantsi,uketsi,uketsi,ukentsi,
asservir,kaɗamiza (u-),FR -> KM,A,v.,ukaɗamiza,,,,
assez,kiasi,FR -> KM,A,adv.,kiasi,kiasi,kiasi,,
assiette,sahani; shanu; isahani; shano,FR -> KM,A,n. fem.,sahani,sahani,sahani,sahani,1.0
assiette (petite -),isahani,FR -> KM,A,n. fem.,isahani,,,,
assiette; assiette (petite -),isahani,KM -> FR,I,n. fem.,sahani,sahani,sahani,sahani,1.0
assiette; vaisselle,shanu,KM -> FR,S,n. fem.,sahani,sahani,sahani,sahani,1.0
assise,mkontsi,FR -> KM,A,n. fem.,mkontsi,,,,
assistance,msaâɗa; muumɓiso,FR -> KM,A,n. masc.,muumɓiso,,,,
assistance; secours,muumɓiso,KM -> FR,M,n. masc.,muumɓiso,,,,
assistant,msaiɗizi,FR -> KM,A,subst.,msaiɗizi,,,,
assister,vidza (u-),FR -> KM,A,v.,,,uvidza,,
association,shama; cama,FR -> KM,A,n. fem.,shama,,shama,cama,
association; club; équipe,cama,KM -> FR,C,n. fem.,shama,,shama,cama,
associer,shirikiana (u-),FR -> KM,A,v. tra.,ushirikiana,,,,
assommer,vuɓamisa (u-); ɓamisa (u-),FR -> KM,A,v. tra.,uvuɓamisa,uɓamisa,,,
assortir,linga (u-),FR -> KM,A,v.,,,ulinga,,
assoupir,ɗema (u-),FR -> KM,A,v. tra.,uɗema,,,,
assumer,gaɓili (u-),FR -> KM,A,v. tra.,ugaɓili,ugaɓili,ugaɓili,ugaɓili,1.0
asthme,pefu,FR -> KM,A,n. fem.,pefu,,pefu,,
astiquer,shugua (u-),FR -> KM,A,v.,ushugua,,,,
astrologue,mwalimu,FR -> KM,A,n. masc.,mwalimu,,,,
astuce,makri,FR -> KM,A,n. fem.,makri,,,,
astuce; ruse; Complot ,makri,KM -> FR,M,n. fem.,makri,,,,
atchoumer,sammwa (u-),FR -> KM,A,v. int.,usammwa,,,,
atelier,shiwanɗa,FR -> KM,A,n. masc.,shiwanɗa,,,,
atmosphère,hawa,FR -> KM,A,n. fem.,hawa,hawa,hawa,hawa,1.0
atout (jeu de cartes),turufu,FR -> KM,A,n. masc.,turufu,turufu,turufu,turufu,1.0
atrocité,mkaswa,FR -> KM,A,n. fem.,mkaswa,,,,
attache,mfungo,FR -> KM,A,n. fem.,mfungo,mfungo,mfungo,mfungo,1.0
attacher,funga (u-),FR -> KM,A,v. tra.,ufunga,ufunga,ufunga,ufunga,1.0
attacher; lier; jeûner; emprisonner; nouer,funga (u-),KM -> FR,F,v. tra.,ufunga,ufunga,ufunga,ufunga,1.0
attaque,shamɓulio,FR -> KM,A,n. fem.,shamɓulio,,,,
attaquer,shamɓulia (u-),FR -> KM,A,v. tra.,ushamɓulia,,,,
attarder,homa (u-); tavela (u-),FR -> KM,A,v. tra.,uhoma,uhoma,uhoma,uhoma,1.0
attarder; mettre longtemps,tavela (u-),KM -> FR,T,v. tra.,uhoma,uhoma,uhoma,uhoma,1.0
attarder; être en retard,homa (u-),KM -> FR,H,v. tra.,uhoma,uhoma,uhoma,uhoma,1.0
atteindre (qqch.),pvemɓea (u-),FR -> KM,A,v.,upvemɓea,,,upvemɓea,
atteindre la maturité,dzinya (u-),FR -> KM,A,v.,udzinya,udzinya,udzinya,,
atteindre la maturité; mûrir,dzinya (u-),KM -> FR,D,v.,udzinya,udzinya,udzinya,,
attendre,hima (u-); linɗa (u-); midza (u-); lindra (u-),FR -> KM,A,v. tra.,uhima,uhima,uhima,uhima,1.0
attente,mlinɗio,FR -> KM,A,n. fem.,mlinɗio,,,,
attention,hala-hala; hala,FR -> KM,A,n. fem.,hala-hala,hala-hala,,,
attention !,fahamu !,FR -> KM,A,n. fem.,shiNgazidja,,,,
attention !; fais gaffe ! ,fahamu !,KM -> FR,F,n. fem.,shiNgazidja,,,,
attention (faire -),tahadhari (u-); fahamu (u-),FR -> KM,A,v.,ufahamu,ufahamu,ufahamu,ufahamu,1.0
attention (faire -); méfier,tahadhari (u-),KM -> FR,T,v.,ufahamu,ufahamu,ufahamu,ufahamu,1.0
attier,mkonokono,FR -> KM,A,n. masc.,mkonokono,,,,
attirer,zaini (u-),FR -> KM,A,v. tra.,uzaini,,uzaini,,
attirer; influencer,zaini (u-),KM -> FR,Z,v. tra.,uzaini,,uzaini,,
attraper,gamatra (u-); ankulia (u-); hankulia (u-),FR -> KM,A,v. tra.,uhankulia,,,,
attrister,tria hamu (u-),FR -> KM,A,v.,hamu,hamu,hamu,hamu,1.0
attrister; manquer,tria hamu (u-),KM -> FR,T,v.,hamu,hamu,hamu,hamu,1.0
attroupement,kungumanyo; sindzo,FR -> KM,A,n. masc.,sindzo,kungumanyo,,,
attroupement; conférence; organisation,kungumanyo,KM -> FR,K,n. masc.,sindzo,kungumanyo,,,
au,ho-,FR -> KM,A,prep.,ho-,,,,
au bout,co,FR -> KM,A,loc.,,,co,,
au ciel,djaragani,FR -> KM,A,loc.,djaragani,,,,
au ciel; aux cieux,djaragani,KM -> FR,D,loc.,djaragani,,,,
au large (mer),maze,FR -> KM,A,loc.,maze,,,,
au lieu de,raha na; ɓadala ya,FR -> KM,A,loc.,na,,na,,
au milieu de,harimwa,FR -> KM,A,loc. prep.,harimwa,harimwa,harimwa,harimwa,1.0
au moyen de,ha,FR -> KM,A,loc. prep.,ha,ha,ha,ha,1.0
au Nord,kibulani,FR -> KM,A,loc.,,,kibulani,,
au sujet de,uhusu,FR -> KM,A,loc.,uhusu,,,,
au-dessous,utsini,FR -> KM,A,prep.,,,utsini,,
au-revoir,kwaheri; lala-unono,FR -> KM,A,n. masc.,lala-unono,kwaheri,kwaheri,kwaheri,
aube,alfadjiri; asuɓuhi,FR -> KM,A,n. fem.,asuɓuhi,asuɓuhi,asuɓuhi,asuɓuhi,1.0
aubergine,ɗemba; bengani; ɓilingani,FR -> KM,A,n. fem.,ɓilingani,ɗemba,bengani,ɗemba,
aucun,ko; kapvu,FR -> KM,A,adj.,ko,ko,ko,ko,1.0
aucun; viens,ko,KM -> FR,K,adj.,ko,ko,ko,ko,1.0
aucun; zéro; rien,kapvu,KM -> FR,K,adj.,ko,ko,ko,ko,1.0
audace,maswa,FR -> KM,A,n. fem.,maswa,maswa,,,
audace; culot; aplomb,maswa,KM -> FR,M,n. fem.,maswa,maswa,,,
audacieux,sudjaâ; kari-ndrongo,FR -> KM,A,adj.,sudjaâ,,,,
auditeur,mwishilizi,FR -> KM,A,n. masc.,mwishilizi,,,,
augmenter,engedza (u-),FR -> KM,A,v.,,hwengedza,hwengedza,,
augmenter; ajouter,engedza (u-),KM -> FR,E,v.,,hwengedza,hwengedza,,
aujourd'hui,lelo; leo,FR -> KM,A,adv.,leo,leo,leo,leo,1.0
aumône,zaka; sadaka; tasadaki,FR -> KM,A,n. fem.,zaka,zaka,zaka,zaka,1.0
auparavant,kaɓulia,FR -> KM,A,adv.,kaɓulia,,,,
aura,uvuhuri,FR -> KM,A,n. fem.,uvuhuri,,,,
auriculaire (doigt),sha ya pwitsi,FR -> KM,A,n. masc.,,,pwitsi,,
aussi,wadjau; wajau,FR -> KM,A,adv.,wadjau,wajau,wajau,,
aussi; ensuite; alors; puis,wadjau,KM -> FR,W,adv.,wadjau,wajau,wajau,,
aussitôt,kamwe,FR -> KM,A,adv.,,kamwe,kamwe,,
auteur,mwandzishi; mwangisi,FR -> KM,A,n. masc.,mwandzishi,mwangisi,mwangisi,,
auteur; écrivain,mwandzishi,KM -> FR,M,n. masc.,mwandzishi,mwangisi,mwangisi,,
authentique,-a inswafi,FR -> KM,A,adj.,inswafi,,,,
autochtone,mtoro,FR -> KM,A,n. masc.,,mtoro,mtoro,,
autonome,-kinaivu,FR -> KM,A,adj.,-kinaivu,,,,
autonome (pers.),mdjitosho,FR -> KM,A,subst.,mdjitosho,,,,
autorisation,ruhusa,FR -> KM,A,n. fem.,ruhusa,,ruhusa,,
autorisation; permission,ruhusa,KM -> FR,R,n. fem.,ruhusa,,ruhusa,,
autoriser,ruhusu (u-),FR -> KM,A,v. tra.,uruhusu,,uruhusu,,
autoriser; permettre,ruhusu (u-),KM -> FR,R,v. tra.,uruhusu,,uruhusu,,
autorité,furswa,FR -> KM,A,n. fem.,furswa,,furswa,,
autorité administratif,ezi,FR -> KM,A,n. fem.,ezi,,ezi,,
autorité administratif; pouvoir (le),ezi,KM -> FR,E,n. fem.,ezi,,ezi,,
autorité; possibilité; occasion; opportunité ,furswa,KM -> FR,F,n. fem.,furswa,,furswa,,
autre,-asaya; -ndrwadjina; -angina,FR -> KM,A,adj.,-ndrwadjina,-angina,-angina,-angina,
autrefois,zamani,FR -> KM,A,adv.,zamani,zamani,zamani,zamani,1.0
autruche,mɓuni,FR -> KM,A,n. fem.,mɓuni,,,,
aux cieux,djaragani,FR -> KM,A,loc.,djaragani,,,,
auxiliaire verbal,isaiɗio sha zitrenɗwa; shisaiɗio sha zitrenɗwa,FR -> KM,A,n. masc. loc.,zitrenɗwa,zitrenɗwa,zitrenɗwa,zitrenɗwa,
avaler,meza (u-); medza (u-),FR -> KM,A,v. tra.,umeza,,umedza,umedza,
avancer,trenɗe (u-); endra (u-) mbeli,FR -> KM,A,v.,utrenɗe,mbeli,mbeli,mbeli,
avant,kaɓla,FR -> KM,A,adv.,kaɓla,,kaɓla,,
avant-goût,cezo ɓoneso,FR -> KM,A,,,,,,
avant-goût ; bande-annonce ,cezo ɓoneso,KM -> FR,C,,,,,,
avant-hier,djuzi; vozuzi; zuzi; pvodjuzi,FR -> KM,A,adv.,djuzi,vozuzi,zuzi,pvodjuzi,
avantage,manufaâ,FR -> KM,A,n.,manufaâ,,,,
avantage; profit,manufaâ,KM -> FR,M,n.,manufaâ,,,,
avantager,vendzelea (u-),FR -> KM,A,v.,,,uvendzelea,,
avantages,manufa,FR -> KM,A,n. masc.,,,manufa,,
avare,muɓahilifu; ɓaruzuli,FR -> KM,A,adj.,muɓahilifu,,,,
avarice,uɓahilifu; uɓaruzuli,FR -> KM,A,n. fem.,uɓaruzuli,,uɓahilifu,,
avec,na,FR -> KM,A,prep.,na,na,na,na,1.0
avenir (demander l'- ),sahili (u-),FR -> KM,A,v.,usahili,,,,
avertir,fahamisha (u-),FR -> KM,A,v.,ufahamisha,ufahamisha,ufahamisha,ufahamisha,1.0
avertir; mettre en garde,fahamisha (u-),KM -> FR,F,v.,ufahamisha,ufahamisha,ufahamisha,ufahamisha,1.0
aveugle,mfumatso,FR -> KM,A,adj.,mfumatso,mfumatso,mfumatso,mfumatso,1.0
aveugler,zusa (u-),FR -> KM,A,v. tra.,uzusa,,,,
avide,ndzahu; mpupa,FR -> KM,A,adj.,,ndzahu,,,
avidité,upupa; undzahu,FR -> KM,A,n. fem.,upupa,upupa,,,
"Avilir, rabaisser, maltraiter",dhili (u-),FR -> KM,A,v.,,,udhili,,
avion,âvio; ndrege,FR -> KM,A,n. masc.,ndrege,ndrege,ndrege,ndrege,1.0
aviron,kasia,FR -> KM,A,n. masc.,,kasia,kasia,,
avis,shauri,FR -> KM,A,n. masc.,,,shauri,,
avocat (fruit),bonobo,FR -> KM,A,n. masc.,bonobo,,,,
avocatier,mbonobo,FR -> KM,A,n. masc.,mbonobo,,,,
avoir,kaya na (u-); para (u-); kana (u-),FR -> KM,A,v.,upara,upara,upara,upara,1.0
avoir assez (en -),tubu (u-),FR -> KM,A,v.,utubu,,utubu,,
avoir assez (en -); satisfait (être -),tubu (u-),KM -> FR,T,v.,utubu,,utubu,,
avoir besoin,kana hadja (u-),FR -> KM,A,v.,hadja,,,,
"avoir des fourmis (""paume morte"")",fa mandzi (hu-),FR -> KM,A,v.,mandzi,,,,
avoir du temps,wahi (u-),FR -> KM,A,v.,uwahi,,,,
avoir du temps; arriver à temps,wahi (u-),KM -> FR,W,v.,uwahi,,,,
avoir fait faire,fanyisiwa (u-),FR -> KM,A,v.,ufanyisiwa,ufanyisiwa,ufanyisiwa,ufanyisiwa,1.0
avoir l'air,fana (u-),FR -> KM,A,v.,ufana,ufana,ufana,ufana,1.0
avoir la diarrhée,vuja (u-),FR -> KM,A,v.,,,uvuja,,
avoir la lèpre,eneha (u-),FR -> KM,A,v.,hweneha,hweneha,hweneha,hweneha,1.0
avoir la lèpre; propagé (être -),eneha (u-),KM -> FR,E,v.,hweneha,hweneha,hweneha,hweneha,1.0
avoir la peau fripée de froid,firiha (u-),FR -> KM,A,def.,,,ufiriha,,
avoir mal,koza (u-); kodza (u-),FR -> KM,A,v.,ukoza,ukodza,ukodza,ukodza,
avoir mal; souffrir; blesser,kodza (u-),KM -> FR,K,v.,ukoza,ukodza,ukodza,ukodza,
avoir peur de,ria (u-),FR -> KM,A,v. loc.,uria,uria,uria,uria,1.0
avorter,tsomoa (u-),FR -> KM,A,v.,utsomoa,utsomoa,utsomoa,,
avorter; renverser,tsomoa (u-),KM -> FR,T,v.,utsomoa,utsomoa,utsomoa,,
ayant,-endza; mwendza,FR -> KM,A,adj.,mwendza,mwendza,mwendza,mwendza,1.0
ayant; qui a,-endza,KM -> FR,E,adj.,mwendza,mwendza,mwendza,mwendza,1.0
aîné,zuki,FR -> KM,A,n. masc.,zuki,,zuki,,
aîné; grand frère; grande sœur,zuki,KM -> FR,Z,n. masc.,zuki,,zuki,,
Aïd,îdi,FR -> KM,A,n. prop.,,,îdi,,
aïl,itrungu thwaumu; shirungu mvuje; shirungu (mvudje),FR -> KM,A,n. masc.,thwaumu,,mvuje,mvuje,
babouin,nyanyi,FR -> KM,B,n. masc.,nyanyi,,,,
babouin; gourmand,nyanyi,KM -> FR,N,n. masc.,nyanyi,,,,
badamier,munyamba; mkaɗaha; mhanɗaya ,FR -> KM,B,n. masc.,mkaɗaha,,munyamba,,
badine,shongwe,FR -> KM,B,n. fem.,,shongwe,,,
bagage,mdzigo; mdzo; mudzo,FR -> KM,B,n. masc.,mdzo,mdzo,mdzo,mdzo,1.0
bagage; charge,mudzo,KM -> FR,M,n. masc.,mdzo,mdzo,mdzo,mdzo,1.0
bague,mbere; mpere; pere,FR -> KM,B,n. fem.,mbere,mpere,pere,,
baillement,mwau,FR -> KM,B,,,,,,
baillement ; collier en fleurs,mwau,KM -> FR,M,,,,,,
baissage,msiso,FR -> KM,B,n. masc.,msiso,,,,
baisser,sisa (u-); shukidza (u-),FR -> KM,B,v. tra.,usisa,ushukidza,ushukidza,ushukidza,
baisser; descendre (faire -),shukidza (u-),KM -> FR,S,v. tra.,usisa,ushukidza,ushukidza,ushukidza,
baissée de la marée,pvwa (hu-),FR -> KM,B,loc. n. fem.,hupvwa,hupvwa,,,
bakchich,ɓahashishi,FR -> KM,B,n. masc.,ɓahashishi,,,,
bal,bali,FR -> KM,B,n. masc.,bali,bali,bali,bali,1.0
